Time|Count|S1F|S1R|S1|Count|S10F|S10R|S10|Count|S250F|S250R|S250
0.01666666666667|120|137.80|101.17|238.97|120|298.87|246.87|545.73|120|684.75|610.77|1295.52
0.03333333333333|120|134.10|101.17|235.27|120|278.07|235.29|513.36|120|669.63|603.48|1273.12
0.05000000000000|120|131.53|101.51|233.03|120|268.73|232.60|501.33|120|660.99|602.34|1263.33
0.06666666666667|120|128.20|101.07|229.28|120|265.76|231.96|497.72|120|659.17|605.13|1264.31
0.08333333333333|120|125.29|101.12|226.42|120|265.31|233.29|498.60|120|658.73|610.21|1268.94
0.10000000000000|120|123.53|101.42|224.94|120|265.76|234.57|500.32|120|660.05|612.63|1272.68
0.11666666666667|120|120.64|101.97|222.62|120|265.58|236.53|502.11|120|660.67|615.73|1276.40
0.13333333333333|120|118.70|102.66|221.36|120|266.84|238.76|505.60|120|661.79|617.25|1279.04
0.15000000000000|120|115.43|103.55|218.98|120|267.63|241.76|509.39|120|663.09|619.31|1282.40
0.16666666666667|120|112.98|103.68|216.67|120|267.83|244.86|512.69|120|664.02|620.69|1284.71
0.18333333333333|120|109.67|105.82|215.49|120|267.04|247.03|514.07|120|664.32|621.85|1286.17
0.20000000000000|120|107.12|106.07|213.20|120|266.10|250.48|516.58|120|665.82|622.32|1288.13
0.21666666666667|120|105.05|106.24|211.29|120|264.52|251.74|516.26|120|666.08|623.18|1289.26
0.23333333333333|120|102.89|106.97|209.87|120|262.85|253.63|516.48|120|666.77|623.67|1290.44
0.25000000000000|120|100.91|107.25|208.16|120|260.54|255.13|515.67|120|667.08|623.74|1290.82
0.26666666666667|120|100.36|108.30|208.66|120|260.98|255.65|516.62|120|668.51|624.24|1292.75
0.28333333333333|120|99.28|108.58|207.87|120|258.34|255.81|514.15|120|668.59|624.93|1293.53
0.30000000000000|120|97.46|108.62|206.08|120|256.79|256.61|513.40|120|668.39|625.07|1293.46
0.31666666666667|120|96.58|108.79|205.37|120|257.09|257.04|514.13|120|669.65|625.46|1295.11
0.33333333333333|120|96.12|109.24|205.36|120|256.49|257.59|514.08|120|669.65|625.51|1295.16
0.35000000000000|120|95.07|109.55|204.62|120|255.57|257.27|512.85|120|669.37|626.12|1295.48
0.36666666666667|120|93.68|109.78|203.47|120|254.82|258.37|513.19|120|670.09|626.35|1296.44
0.38333333333333|120|93.40|109.66|203.06|120|253.71|258.68|512.39|120|669.91|626.67|1296.58
0.40000000000000|120|93.27|109.49|202.76|120|254.07|258.82|512.89|120|670.36|626.51|1296.87
0.41666666666667|120|91.93|110.40|202.33|120|252.52|259.25|511.77|120|670.24|627.57|1297.81
0.43333333333333|120|91.11|110.77|201.87|120|251.59|259.61|511.20|120|670.17|626.48|1296.64
0.45000000000000|120|90.95|110.37|201.32|120|251.39|259.96|511.35|120|670.91|627.63|1298.54
