Date Saved,2017/11/11 13:19:00
Title,Sun-Ref_14_5356K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5356
⊿uv,0.0028
Illuminance [lx],115000

Reference CCT [K],6500
LB Index [MK⁻¹],-33
LB Camera Filter,82B
LB Lighting Filter,L203 1/4 CTB
CC Index,0.2M
CC Camera Filter,CC05M
CC Lighting Filter,L279 1/8 MINUS G
CRI Ra,99.6
CRI R1,99.8
CRI R2,99.8
CRI R3,99.5
CRI R4,99.8
CRI R5,99.9
CRI R6,99.6
CRI R7,99.5
CRI R8,99.2
CRI R9,98.3
CRI R10,99.5
CRI R11,99.6
CRI R12,98.7
CRI R13,99.8
CRI R14,99.7
CRI R15,99.6
