Date Saved,2018/02/05 16:27:32
Title,Yellow-Focustech_02_2161K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2161
⊿uv,0.0088
Illuminance [lx],23800

Reference CCT [K],5400
LB Index [MK⁻¹],-278
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,2.1M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,46.4
CRI R1,36.5
CRI R2,67.6
CRI R3,91.8
CRI R4,26.2
CRI R5,30.4
CRI R6,49.7
CRI R7,64.4
CRI R8,4.7
CRI R9,-100.0
CRI R10,32.8
CRI R11,2.2
CRI R12,2.6
CRI R13,39.7
CRI R14,94.8
CRI R15,30.0
