Date Saved,2017/11/11 13:09:17
Title,LED-White_03_8327K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],8327
⊿uv,-0.0027
Illuminance [lx],12500

Reference CCT [K],6500
LB Index [MK⁻¹],34
LB Camera Filter,81B
LB Lighting Filter,L223 1/8 CTO
CC Index,0.9G
CC Camera Filter,CC025G
CC Lighting Filter,L278 1/8 PLUS G
CRI Ra,86.1
CRI R1,86.3
CRI R2,89.0
CRI R3,87.7
CRI R4,87.9
CRI R5,86.3
CRI R6,81.8
CRI R7,90.1
CRI R8,79.5
CRI R9,32.9
CRI R10,71.5
CRI R11,87.4
CRI R12,60.4
CRI R13,87.4
CRI R14,93.4
CRI R15,85.2
