Date Saved,2017/11/13 00:50:47
Title,LED-White-GG_03_6541K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6541
⊿uv,0.0029
Illuminance [lx],31400

Reference CCT [K],5400
LB Index [MK⁻¹],32
LB Camera Filter,81C
LB Lighting Filter,L223 1/8 CTO
CC Index,0.0
CC Camera Filter,CC05M
CC Lighting Filter,L279 1/8 MINUS G
CRI Ra,75.8
CRI R1,73.7
CRI R2,80.7
CRI R3,82.1
CRI R4,74.9
CRI R5,73.5
CRI R6,71.4
CRI R7,85.6
CRI R8,64.7
CRI R9,-13.5
CRI R10,50.5
CRI R11,70.2
CRI R12,42.8
CRI R13,75.3
CRI R14,89.8
CRI R15,69.9
