Date Saved,2017/11/13 00:50:55
Title,LED-20W_02_5510K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5510
⊿uv,0.0029
Illuminance [lx],30100

Reference CCT [K],5400
LB Index [MK⁻¹],4
LB Camera Filter,-----
LB Lighting Filter,-----
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,L279 1/8 MINUS G
CRI Ra,72.8
CRI R1,70.0
CRI R2,78.8
CRI R3,82.1
CRI R4,71.1
CRI R5,69.7
CRI R6,68.5
CRI R7,83.5
CRI R8,58.7
CRI R9,-25.8
CRI R10,46.5
CRI R11,65.2
CRI R12,37.1
CRI R13,71.9
CRI R14,89.8
CRI R15,65.7
