Date Saved,2017/11/14 05:37:12
Title,GG-Flo_05_2206K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2206
⊿uv,0.0011
Illuminance [lx],16900

Reference CCT [K],5400
LB Index [MK⁻¹],-268
LB Camera Filter,Filter N/A
LB Lighting Filter,L283 1.5 CTB, L283 1.5 CTB
CC Index,0.1G
CC Camera Filter,Filter N/A
CC Lighting Filter,L244 PLUS GREEN, L244 PLUS GREEN
CRI Ra,-2.4
CRI R1,-19.9
CRI R2,55.1
CRI R3,50.4
CRI R4,-36.2
CRI R5,-17.7
CRI R6,37.8
CRI R7,11.2
CRI R8,-100.0
CRI R9,-100.0
CRI R10,20.8
CRI R11,-59.5
CRI R12,-6.7
CRI R13,-1.2
CRI R14,66.5
CRI R15,-51.3
