Date Saved,2017/11/14 05:35:11
Title,TV_02_7357K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],7357
⊿uv,-0.0046
Illuminance [lx],211

Reference CCT [K],5400
LB Index [MK⁻¹],49
LB Camera Filter,81D
LB Lighting Filter,L206 1/4 CTO
CC Index,0.9G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,86.8
CRI R1,97.7
CRI R2,87.5
CRI R3,73.2
CRI R4,83.1
CRI R5,94.9
CRI R6,81.9
CRI R7,85.9
CRI R8,89.8
CRI R9,74.9
CRI R10,65.0
CRI R11,82.7
CRI R12,61.4
CRI R13,94.7
CRI R14,83.9
CRI R15,96.1
