Date Saved,2017/11/11 13:08:25
Title,Sun-Ref_05_5126K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5126
⊿uv,0.0023
Illuminance [lx],34600

Reference CCT [K],6500
LB Index [MK⁻¹],-41
LB Camera Filter,82C
LB Lighting Filter,L203 1/4 CTB
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,L249 1/4 MINUS G
CRI Ra,99.4
CRI R1,99.6
CRI R2,99.7
CRI R3,99.4
CRI R4,99.5
CRI R5,99.8
CRI R6,99.4
CRI R7,99.1
CRI R8,98.6
CRI R9,96.9
CRI R10,99.4
CRI R11,99.4
CRI R12,98.5
CRI R13,99.6
CRI R14,99.7
CRI R15,99.4
