Date Saved,2018/02/05 16:27:33
Title,Yellow-Focustech_03_2165K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2165
⊿uv,0.0089
Illuminance [lx],23400

Reference CCT [K],5400
LB Index [MK⁻¹],-277
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,2.1M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,46.4
CRI R1,36.5
CRI R2,67.6
CRI R3,91.9
CRI R4,26.2
CRI R5,30.4
CRI R6,49.6
CRI R7,64.4
CRI R8,4.7
CRI R9,-100.0
CRI R10,32.7
CRI R11,2.2
CRI R12,2.5
CRI R13,39.7
CRI R14,94.8
CRI R15,29.9
