Date Saved,2018/02/05 16:26:16
Title,FocusTech-Yellow_02_2171K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2171
⊿uv,0.0090
Illuminance [lx],20200

Reference CCT [K],5400
LB Index [MK⁻¹],-275
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,2.2M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,46.8
CRI R1,36.9
CRI R2,67.6
CRI R3,92.4
CRI R4,26.6
CRI R5,30.7
CRI R6,49.4
CRI R7,65.1
CRI R8,5.9
CRI R9,-99.9
CRI R10,32.5
CRI R11,2.4
CRI R12,2.0
CRI R13,40.0
CRI R14,95.2
CRI R15,30.6
