Date Saved,2017/11/13 00:50:55
Title,LED-20W_01_5893K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5893
⊿uv,-0.0028
Illuminance [lx],30600

Reference CCT [K],5400
LB Index [MK⁻¹],15
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.4G
CC Camera Filter,CC025G
CC Lighting Filter,L278 1/8 PLUS G
CRI Ra,72.3
CRI R1,71.9
CRI R2,76.3
CRI R3,75.7
CRI R4,73.7
CRI R5,71.8
CRI R6,65.5
CRI R7,80.9
CRI R8,62.8
CRI R9,-17.6
CRI R10,40.0
CRI R11,69.5
CRI R12,39.6
CRI R13,72.0
CRI R14,85.9
CRI R15,69.0
