Date Saved,2018/02/10 20:41:01
Title,PLACO_01_2600K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2600
⊿uv,-0.0231
Illuminance [lx],25800

Reference CCT [K],5400
LB Index [MK⁻¹],-199
LB Camera Filter,80A, 80D
LB Lighting Filter,R3202 FULL CTB, R3203 3/4 CTB
CC Index,2.9G
CC Camera Filter,CC50G, CC10G
CC Lighting Filter,R3304 PLUS GREEN, R3317 1/8 PLUS G
CRI Ra,75.9
CRI R1,75.4
CRI R2,90.7
CRI R3,92.1
CRI R4,62.8
CRI R5,73.3
CRI R6,83.9
CRI R7,74.2
CRI R8,55.2
CRI R9,15.8
CRI R10,76.0
CRI R11,52.2
CRI R12,73.2
CRI R13,78.9
CRI R14,96.8
CRI R15,78.1
