Date Saved,2017/11/14 05:37:13
Title,GG-Flo_06_2247K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2247
⊿uv,0.0011
Illuminance [lx],9540

Reference CCT [K],5400
LB Index [MK⁻¹],-260
LB Camera Filter,Filter N/A
LB Lighting Filter,L283 1.5 CTB, L283 1.5 CTB
CC Index,0.1G
CC Camera Filter,Filter N/A
CC Lighting Filter,L244 PLUS GREEN, L244 PLUS GREEN
CRI Ra,-0.7
CRI R1,-17.9
CRI R2,55.6
CRI R3,53.4
CRI R4,-33.0
CRI R5,-15.5
CRI R6,38.1
CRI R7,12.9
CRI R8,-99.3
CRI R9,-100.0
CRI R10,20.2
CRI R11,-55.7
CRI R12,-6.5
CRI R13,0.7
CRI R14,68.5
CRI R15,-49.3
