Date Saved,2017/11/11 13:08:29
Title,Sun-Ref_10_5045K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5045
⊿uv,0.0016
Illuminance [lx],692

Reference CCT [K],6500
LB Index [MK⁻¹],-44
LB Camera Filter,82C
LB Lighting Filter,L203 1/4 CTB
CC Index,0.1M
CC Camera Filter,CC025M
CC Lighting Filter,L249 1/4 MINUS G
CRI Ra,99.4
CRI R1,99.6
CRI R2,99.4
CRI R3,99.5
CRI R4,99.5
CRI R5,99.6
CRI R6,99.2
CRI R7,99.1
CRI R8,99.0
CRI R9,98.0
CRI R10,99.0
CRI R11,99.4
CRI R12,97.8
CRI R13,99.4
CRI R14,99.8
CRI R15,99.5
