Date Saved,2017/11/13 00:50:48
Title,LED-White-GG_04_6606K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6606
⊿uv,0.0023
Illuminance [lx],32100

Reference CCT [K],5400
LB Index [MK⁻¹],34
LB Camera Filter,81C
LB Lighting Filter,L223 1/8 CTO
CC Index,0.0
CC Camera Filter,CC05M
CC Lighting Filter,L279 1/8 MINUS G
CRI Ra,76.0
CRI R1,74.0
CRI R2,80.7
CRI R3,81.8
CRI R4,75.3
CRI R5,73.9
CRI R6,71.5
CRI R7,85.6
CRI R8,65.3
CRI R9,-12.0
CRI R10,50.4
CRI R11,70.6
CRI R12,44.4
CRI R13,75.5
CRI R14,89.6
CRI R15,70.5
