Date Saved,2017/11/11 20:53:24
Title,LED-4000_01_4056K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4056
⊿uv,0.0008
Illuminance [lx],56400

Reference CCT [K],5400
LB Index [MK⁻¹],-61
LB Camera Filter,80D, 82
LB Lighting Filter,L202 1/2 CTB
CC Index,0.2M
CC Camera Filter,-----
CC Lighting Filter,L278 1/8 PLUS G
CRI Ra,84.8
CRI R1,84.0
CRI R2,93.2
CRI R3,96.0
CRI R4,81.0
CRI R5,83.2
CRI R6,89.2
CRI R7,85.5
CRI R8,66.7
CRI R9,18.0
CRI R10,82.4
CRI R11,79.8
CRI R12,62.4
CRI R13,86.8
CRI R14,98.5
CRI R15,78.2
