Date Saved,2017/11/17 21:17:56
Title,Sun-Calib-427mV_01_5016K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5016
⊿uv,0.0026
Illuminance [lx],102000

Reference CCT [K],5400
LB Index [MK⁻¹],-14
LB Camera Filter,82A
LB Lighting Filter,R3216 1/8 CTB
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,99.1
CRI R1,99.3
CRI R2,99.7
CRI R3,98.9
CRI R4,99.1
CRI R5,99.6
CRI R6,99.5
CRI R7,98.9
CRI R8,98.1
CRI R9,95.8
CRI R10,99.3
CRI R11,99.0
CRI R12,98.6
CRI R13,99.6
CRI R14,99.3
CRI R15,98.9
