Date Saved,2018/02/05 16:27:31
Title,Yellow-Focustech_01_2134K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2134
⊿uv,0.0085
Illuminance [lx],25800

Reference CCT [K],5400
LB Index [MK⁻¹],-283
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,2.1M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,46.1
CRI R1,36.3
CRI R2,67.6
CRI R3,91.4
CRI R4,25.7
CRI R5,30.1
CRI R6,49.7
CRI R7,63.9
CRI R8,4.0
CRI R9,-100.0
CRI R10,33.0
CRI R11,1.5
CRI R12,2.7
CRI R13,39.4
CRI R14,94.6
CRI R15,29.8
