Date Saved,2017/11/17 21:17:38
Title,Sun-Calib-75.7mV_01_5134K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5134
⊿uv,-0.0003
Illuminance [lx],10000

Reference CCT [K],5400
LB Index [MK⁻¹],-10
LB Camera Filter,82
LB Lighting Filter,R3216 1/8 CTB
CC Index,0.0
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,98.7
CRI R1,98.6
CRI R2,98.5
CRI R3,99.3
CRI R4,98.5
CRI R5,98.4
CRI R6,98.2
CRI R7,99.0
CRI R8,99.3
CRI R9,98.0
CRI R10,97.4
CRI R11,98.4
CRI R12,95.9
CRI R13,98.2
CRI R14,99.7
CRI R15,98.0
