Date Saved,2017/11/14 05:37:15
Title,GG-Flo_08_2048K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2048
⊿uv,0.0060
Illuminance [lx],45900

Reference CCT [K],5400
LB Index [MK⁻¹],-303
LB Camera Filter,Filter N/A
LB Lighting Filter,Filter N/A
CC Index,1.2M
CC Camera Filter,Filter N/A
CC Lighting Filter,Filter N/A
CRI Ra,11.0
CRI R1,-1.9
CRI R2,57.6
CRI R3,53.7
CRI R4,-23.4
CRI R5,-5.1
CRI R6,40.7
CRI R7,30.4
CRI R8,-64.2
CRI R9,-100.0
CRI R10,29.5
CRI R11,-55.2
CRI R12,1.0
CRI R13,6.3
CRI R14,69.1
CRI R15,-16.5
