Date Saved,2018/03/10 20:40:27
Title,CCCx4-80WB_08_2994K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2994
⊿uv,-0.0029
Illuminance [lx],54900

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.1
CRI R1,82.7
CRI R2,96.2
CRI R3,88.8
CRI R4,77.7
CRI R5,83.6
CRI R6,94.2
CRI R7,77.7
CRI R8,55.5
CRI R9,6.4
CRI R10,91.6
CRI R11,77.5
CRI R12,75.6
CRI R13,86.8
CRI R14,94.4
CRI R15,74.9
