Date Saved,2018/03/08 19:36:25
Title,Cree-2x4-20CM-PW_05_3026K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3026
⊿uv,-0.0015
Illuminance [lx],41700

Reference CCT [K],3000
LB Index [MK⁻¹],3
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.1
CRI R1,82.5
CRI R2,93.8
CRI R3,93.5
CRI R4,79.9
CRI R5,83.0
CRI R6,92.3
CRI R7,81.2
CRI R8,58.9
CRI R9,10.2
CRI R10,85.7
CRI R11,79.5
CRI R12,73.9
CRI R13,85.6
CRI R14,97.1
CRI R15,75.2
