Date Saved,2018/03/10 20:41:42
Title,Cheap-COB_04_3221K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3221
⊿uv,0.0046
Illuminance [lx],3510

Reference CCT [K],3000
LB Index [MK⁻¹],23
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.6M
CC Camera Filter,CC05M
CC Lighting Filter,R3318 1/8 MINUS G
CRI Ra,61.7
CRI R1,55.1
CRI R2,74.0
CRI R3,89.2
CRI R4,53.5
CRI R5,53.2
CRI R6,60.3
CRI R7,75.3
CRI R8,32.7
CRI R9,-67.4
CRI R10,39.1
CRI R11,41.0
CRI R12,22.5
CRI R13,58.2
CRI R14,93.8
CRI R15,47.9
