Date Saved,2018/03/10 20:41:46
Title,Cheap-COB_09_3307K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3307
⊿uv,0.0023
Illuminance [lx],48500

Reference CCT [K],3000
LB Index [MK⁻¹],31
LB Camera Filter,81A
LB Lighting Filter,R3410 1/8 CTO
CC Index,0.3M
CC Camera Filter,CC05M
CC Lighting Filter,R3314 1/4 MINUS G
CRI Ra,60.1
CRI R1,53.6
CRI R2,71.9
CRI R3,86.4
CRI R4,52.8
CRI R5,51.9
CRI R6,57.1
CRI R7,74.4
CRI R8,32.8
CRI R9,-69.7
CRI R10,34.2
CRI R11,39.5
CRI R12,23.4
CRI R13,56.2
CRI R14,92.2
CRI R15,47.2
