Date Saved,2018/03/08 19:36:22
Title,Cree-2x4-20CM-PW_01_3013K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3013
⊿uv,-0.0022
Illuminance [lx],8500

Reference CCT [K],3000
LB Index [MK⁻¹],1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.2G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.4
CRI R1,83.5
CRI R2,95.3
CRI R3,91.8
CRI R4,79.8
CRI R5,84.0
CRI R6,93.7
CRI R7,80.2
CRI R8,59.0
CRI R9,12.2
CRI R10,89.0
CRI R11,79.5
CRI R12,74.9
CRI R13,86.9
CRI R14,96.2
CRI R15,76.2
