Date Saved,2018/03/10 20:40:28
Title,CCCx4-80WB_09_3000K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3000
⊿uv,-0.0034
Illuminance [lx],12600

Reference CCT [K],3000
LB Index [MK⁻¹],0
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.1
CRI R1,82.9
CRI R2,96.4
CRI R3,88.6
CRI R4,77.8
CRI R5,83.9
CRI R6,94.1
CRI R7,77.5
CRI R8,55.6
CRI R9,7.0
CRI R10,92.0
CRI R11,77.5
CRI R12,75.7
CRI R13,87.0
CRI R14,94.4
CRI R15,75.3
