Date Saved,2018/03/08 19:36:27
Title,Cree-2x4-20CM-PW_08_3034K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3034
⊿uv,-0.0014
Illuminance [lx],62900

Reference CCT [K],3000
LB Index [MK⁻¹],4
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.1
CRI R1,82.2
CRI R2,93.3
CRI R3,94.1
CRI R4,80.1
CRI R5,82.7
CRI R6,91.8
CRI R7,81.4
CRI R8,58.9
CRI R9,9.5
CRI R10,84.6
CRI R11,79.5
CRI R12,73.7
CRI R13,85.2
CRI R14,97.5
CRI R15,74.9
