Date Saved,2018/03/08 19:36:28
Title,Cree-2x4-20CM-PW_10_3039K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3039
⊿uv,-0.0013
Illuminance [lx],79600

Reference CCT [K],3000
LB Index [MK⁻¹],4
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.9
CRI R1,82.0
CRI R2,93.1
CRI R3,94.2
CRI R4,79.9
CRI R5,82.5
CRI R6,91.5
CRI R7,81.5
CRI R8,58.8
CRI R9,9.0
CRI R10,84.2
CRI R11,79.3
CRI R12,73.6
CRI R13,85.0
CRI R14,97.5
CRI R15,74.6
