Date Saved,2018/03/10 20:39:56
Title,CCCx4-80W_05_2987K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2987
⊿uv,-0.0037
Illuminance [lx],25600

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.4G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.3
CRI R1,83.3
CRI R2,96.8
CRI R3,88.2
CRI R4,78.0
CRI R5,84.3
CRI R6,94.2
CRI R7,77.4
CRI R8,55.8
CRI R9,8.0
CRI R10,92.9
CRI R11,77.9
CRI R12,76.1
CRI R13,87.5
CRI R14,94.2
CRI R15,75.7
