Date Saved,2018/03/08 19:36:04
Title,JG-Cree_03_2722K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2722
⊿uv,0.0024
Illuminance [lx],15400

Reference CCT [K],3000
LB Index [MK⁻¹],-34
LB Camera Filter,82C
LB Lighting Filter,R3206 1/3 CTB
CC Index,0.3M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,81.7
CRI R1,79.2
CRI R2,89.2
CRI R3,97.7
CRI R4,80.0
CRI R5,79.2
CRI R6,87.2
CRI R7,83.2
CRI R8,57.6
CRI R9,5.4
CRI R10,76.0
CRI R11,79.1
CRI R12,70.7
CRI R13,81.3
CRI R14,99.0
CRI R15,71.2
