Date Saved,2018/02/15 22:01:41
Title,CXA2530-3000K_06_3287K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3287
⊿uv,-0.0017
Illuminance [lx],5120

Reference CCT [K],5400
LB Index [MK⁻¹],-119
LB Camera Filter,80C, 82C
LB Lighting Filter,R3202 FULL CTB, R3216 1/8 CTB
CC Index,0.1G
CC Camera Filter,CC05G, CC025G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,83.7
CRI R1,82.4
CRI R2,90.4
CRI R3,95.9
CRI R4,82.3
CRI R5,82.4
CRI R6,87.1
CRI R7,85.1
CRI R8,64.4
CRI R9,16.1
CRI R10,77.4
CRI R11,81.4
CRI R12,68.9
CRI R13,84.3
CRI R14,97.9
CRI R15,76.5
