Date Saved,2018/03/10 20:41:44
Title,Cheap-COB_07_3249K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3249
⊿uv,0.0025
Illuminance [lx],29800

Reference CCT [K],3000
LB Index [MK⁻¹],26
LB Camera Filter,81A
LB Lighting Filter,R3410 1/8 CTO
CC Index,0.4M
CC Camera Filter,CC05M
CC Lighting Filter,R3314 1/4 MINUS G
CRI Ra,60.5
CRI R1,54.1
CRI R2,72.5
CRI R3,87.2
CRI R4,53.2
CRI R5,52.3
CRI R6,58.0
CRI R7,74.4
CRI R8,32.5
CRI R9,-69.1
CRI R10,35.7
CRI R11,40.4
CRI R12,23.1
CRI R13,56.9
CRI R14,92.6
CRI R15,47.4
