Date Saved,2018/03/10 20:41:44
Title,Cheap-COB_06_3230K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3230
⊿uv,0.0032
Illuminance [lx],16500

Reference CCT [K],3000
LB Index [MK⁻¹],24
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.5M
CC Camera Filter,CC05M
CC Lighting Filter,R3318 1/8 MINUS G
CRI Ra,60.9
CRI R1,54.5
CRI R2,73.0
CRI R3,87.9
CRI R4,53.4
CRI R5,52.7
CRI R6,58.8
CRI R7,74.7
CRI R8,32.5
CRI R9,-68.5
CRI R10,37.0
CRI R11,40.8
CRI R12,22.8
CRI R13,57.4
CRI R14,93.1
CRI R15,47.6
