Date Saved,2018/03/10 20:41:15
Title,CXA2530_02_3097K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3097
⊿uv,0.0003
Illuminance [lx],14700

Reference CCT [K],3000
LB Index [MK⁻¹],10
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1M
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,82.5
CRI R1,80.5
CRI R2,89.4
CRI R3,96.5
CRI R4,80.9
CRI R5,80.5
CRI R6,86.3
CRI R7,84.3
CRI R8,61.2
CRI R9,9.6
CRI R10,75.6
CRI R11,79.9
CRI R12,67.8
CRI R13,82.5
CRI R14,98.2
CRI R15,73.7
