Date Saved,2018/03/10 20:40:23
Title,CCCx4-80WB_02_2990K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2990
⊿uv,-0.0029
Illuminance [lx],54700

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.1
CRI R1,82.7
CRI R2,96.2
CRI R3,88.9
CRI R4,77.7
CRI R5,83.6
CRI R6,94.2
CRI R7,77.7
CRI R8,55.5
CRI R9,6.3
CRI R10,91.5
CRI R11,77.5
CRI R12,75.5
CRI R13,86.7
CRI R14,94.5
CRI R15,74.9
