Date Saved,2018/03/10 20:41:47
Title,Cheap-COB_10_3381K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3381
⊿uv,0.0027
Illuminance [lx],59300

Reference CCT [K],3000
LB Index [MK⁻¹],38
LB Camera Filter,81B
LB Lighting Filter,R3410 1/8 CTO
CC Index,0.4M
CC Camera Filter,CC05M
CC Lighting Filter,R3314 1/4 MINUS G
CRI Ra,60.0
CRI R1,53.2
CRI R2,71.7
CRI R3,86.2
CRI R4,52.5
CRI R5,51.8
CRI R6,56.8
CRI R7,74.7
CRI R8,33.1
CRI R9,-70.8
CRI R10,33.6
CRI R11,39.0
CRI R12,24.0
CRI R13,55.9
CRI R14,92.0
CRI R15,46.9
