Date Saved,2018/03/10 20:41:43
Title,Cheap-COB_05_3220K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3220
⊿uv,0.0041
Illuminance [lx],7080

Reference CCT [K],3000
LB Index [MK⁻¹],23
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.6M
CC Camera Filter,CC05M
CC Lighting Filter,R3318 1/8 MINUS G
CRI Ra,61.4
CRI R1,54.9
CRI R2,73.6
CRI R3,88.7
CRI R4,53.6
CRI R5,53.0
CRI R6,59.7
CRI R7,75.1
CRI R8,32.6
CRI R9,-67.8
CRI R10,38.3
CRI R11,41.0
CRI R12,22.6
CRI R13,57.9
CRI R14,93.5
CRI R15,47.8
