Date Saved,2018/03/10 20:39:53
Title,CCCx4-80W_01_2989K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2989
⊿uv,-0.0028
Illuminance [lx],49200

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,-----
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.1
CRI R1,82.8
CRI R2,96.2
CRI R3,88.9
CRI R4,77.9
CRI R5,83.7
CRI R6,94.3
CRI R7,77.8
CRI R8,55.6
CRI R9,6.6
CRI R10,91.5
CRI R11,77.7
CRI R12,75.5
CRI R13,86.8
CRI R14,94.5
CRI R15,75.0
