Date Saved,2018/03/08 19:36:24
Title,Cree-2x4-20CM-PW_04_3027K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3027
⊿uv,-0.0015
Illuminance [lx],34100

Reference CCT [K],3000
LB Index [MK⁻¹],3
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.2
CRI R1,82.6
CRI R2,93.8
CRI R3,93.6
CRI R4,80.1
CRI R5,83.1
CRI R6,92.3
CRI R7,81.2
CRI R8,59.1
CRI R9,10.6
CRI R10,85.7
CRI R11,79.6
CRI R12,73.8
CRI R13,85.7
CRI R14,97.2
CRI R15,75.3
