Date Saved,2018/03/10 20:39:55
Title,CCCx4-80W_03_2987K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2987
⊿uv,-0.0030
Illuminance [lx],42500

Reference CCT [K],3000
LB Index [MK⁻¹],-1
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.1
CRI R1,82.9
CRI R2,96.5
CRI R3,88.6
CRI R4,77.8
CRI R5,83.8
CRI R6,94.3
CRI R7,77.6
CRI R8,55.6
CRI R9,7.0
CRI R10,92.1
CRI R11,77.6
CRI R12,75.6
CRI R13,87.0
CRI R14,94.3
CRI R15,75.1
