Date Saved,2018/03/08 19:36:23
Title,Cree-2x4-20CM-PW_02_3019K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3019
⊿uv,-0.0018
Illuminance [lx],17500

Reference CCT [K],3000
LB Index [MK⁻¹],2
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.4
CRI R1,83.1
CRI R2,94.6
CRI R3,92.7
CRI R4,80.0
CRI R5,83.6
CRI R6,93.1
CRI R7,80.8
CRI R8,59.1
CRI R9,11.4
CRI R10,87.4
CRI R11,79.6
CRI R12,74.3
CRI R13,86.3
CRI R14,96.7
CRI R15,75.8
