Date Saved,2018/03/10 20:41:28
Title,Red-Chanzon_03_Under

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],Under
⊿uv,Under
Illuminance [lx],13600

Reference CCT [K],3000
LB Index [MK⁻¹],Under
LB Camera Filter,Under
LB Lighting Filter,Under
CC Index,Under
CC Camera Filter,Under
CC Lighting Filter,Under
CRI Ra,Under
CRI R1,Under
CRI R2,Under
CRI R3,Under
CRI R4,Under
CRI R5,Under
CRI R6,Under
CRI R7,Under
CRI R8,Under
CRI R9,Under
CRI R10,Under
CRI R11,Under
CRI R12,Under
CRI R13,Under
CRI R14,Under
CRI R15,Under
